Start Time	End Time	Text
00:00:00.000	00:00:06.320	 So there are things in life that are normal and there are things in life that are not normal like today's weather
00:00:06.480	00:00:12.419	 The weather today is not normal. It is November 25th and it is 10 degrees Celsius out here
00:00:12.580	00:00:16.679	 In fact if I was to choose an English word to describe this weather
00:00:16.679	00:00:21.559	 I would choose the word bizarre the weather is bizarre for this time of year
00:00:22.000	00:00:25.120	 Normally it's minus one and maybe snowing a little bit
00:00:25.120	00:00:31.620	 But definitely this weather is bizarre when you use the word bizarre to describe something that's not normal
00:00:31.620	00:00:34.920	 You're really emphasizing that it's really not normal
00:00:35.240	00:00:37.719	 So anyways welcome to this English lesson
00:00:37.719	00:00:42.280	 Let's go a few places and let's look at a few more things that are not normal
00:00:42.280	00:00:45.799	 And I'll teach you some words and phrases you can use to describe them
00:00:46.439	00:00:53.340	 So sometimes in English we simply use the word odd to describe something that isn't how it normally is now
00:00:53.340	00:00:57.260	 It's pretty normal to have Christmas displays set up in town
00:00:57.700	00:01:03.800	 But what I find odd about this Christmas display is how early it was set up
00:01:04.460	00:01:09.379	 For me, I think that Christmas displays should be set up around December 1st
00:01:09.379	00:01:16.900	 I don't feel like they should be here at the beginning of November to me the timing is a little bit odd
00:01:17.140	00:01:21.980	 For me a normal time to set up a Christmas display would be December 1st
00:01:22.020	00:01:27.880	 That sounds like a good time Christmas is December 25th. Let's wait until December 1st
00:01:27.880	00:01:31.480	 So maybe it's just me maybe everyone else in the world loves it
00:01:31.480	00:01:38.879	 But for me setting up Christmas displays before December 1st seems a little odd a little bit not normal
00:01:39.620	00:01:42.420	 Sometimes in English we just use the word unusual
00:01:44.460	00:01:49.939	 It's unusual to see people eating ice cream cones in November in Ontario, Canada
00:01:50.659	00:01:54.980	 Normally we eat ice cream in the warmer months in June, July, August and
00:01:57.259	00:02:00.780	 Even in September, but I thought I would get an ice cream cone today
00:02:00.780	00:02:05.500	 Even though this is kind of unusual for this time of year. So again
00:02:06.019	00:02:10.699	 When you're talking about something that's not normal in English you can use the word unusual
00:02:11.060	00:02:16.060	 So sometimes in English we put the word odd and the word unusual together
00:02:16.060	00:02:19.500	 And we say that something is odd and unusual
00:02:19.979	00:02:24.539	 These houses behind me are a little bit odd and unusual in
00:02:25.340	00:02:31.460	 Ontario, Canada we don't often paint our houses with vibrant colors like this
00:02:31.460	00:02:35.780	 These are really really cool and by the way if you wanted to buy one
00:02:35.780	00:02:37.780	 I think this one is for sale
00:02:37.900	00:02:42.979	 So sometimes we say something is odd and unusual we put the two words together
00:02:43.620	00:02:45.419	 I'm gonna show you a few more of these
00:02:45.419	00:02:49.859	 I think what I like the most about these odd and unusual houses is
00:02:50.780	00:02:55.379	 How the colors are very very vibrant? I think I mentioned that already
00:02:55.979	00:02:58.139	 Even the fence in front of this house
00:02:58.779	00:03:06.219	 The house itself is a cool green this one behind me is yellow and purple mixed together
00:03:06.459	00:03:11.899	 So just very very cool kind of odd and unusual and it doesn't have to be a negative thing
00:03:11.900	00:03:18.580	 Some people really like odd and unusual things I think sometimes my English lessons are a little bit odd and unusual
00:03:18.580	00:03:20.020	 But you guys seem to like them
00:03:20.020	00:03:25.659	 So sometimes we put those two words together to describe something and say it's odd and unusual
00:03:26.460	00:03:29.580	 Sometimes you see something and you just think that's weird
